Jaar,Woonregio,Werkregio,Banen van werknemers
2015,Den Helder,Haarlem,200
2015,Den Helder,Haarlemmermeer,200
2015,Den Helder,Hollands Kroon,600
2015,Den Helder,Hoorn,400
2015,Den Helder,Leeuwarden,100
2015,Den Helder,Medemblik,200
2015,Den Helder,Opmeer,100
2015,Den Helder,Purmerend,100
2015,Den Helder,Rotterdam,200
2015,Den Helder,Schagen,1300
2015,Den Helder,Texel,300
2015,Den Helder,Tilburg,100
2015,Den Helder,Utrecht (gem),100
2015,Den Helder,Velsen,300
2015,Den Helder,Zaanstad,300
2015,Den Helder,Zandvoort,100
2015,Drechterland,Alkmaar,400
2015,Drechterland,Amsterdam,600
2015,Drechterland,Den Helder,100
2015,Drechterland,Dijk en Waard,200
2015,Drechterland,Drechterland,1600
2015,Drechterland,Edam-Volendam,100
2015,Drechterland,Enkhuizen,600
2015,Drechterland,Haarlemmermeer,200
2015,Drechterland,Hollands Kroon,100
2015,Drechterland,Hoorn,1900
2015,Drechterland,Koggenland,100
2015,Drechterland,Medemblik,1100
2015,Drechterland,Opmeer,100
2015,Drechterland,Purmerend,200
2015,Drechterland,Schagen,100
2015,Drechterland,Stede Broec,700
2015,Drechterland,Zaanstad,200
2015,Enkhuizen,Alkmaar,300
2015,Enkhuizen,Amsterdam,500
2015,Enkhuizen,Den Helder,100
2015,Enkhuizen,Dijk en Waard,200
2015,Enkhuizen,Drechterland,300
2015,Enkhuizen,Enkhuizen,2600
2015,Enkhuizen,Haarlem,100
2015,Enkhuizen,Haarlemmermeer,100
2015,Enkhuizen,Hollands Kroon,100
2015,Enkhuizen,Hoorn,900
2015,Enkhuizen,Koggenland,100
2015,Enkhuizen,Lelystad,100
2015,Enkhuizen,Medemblik,800
2015,Enkhuizen,Purmerend,200
2015,Enkhuizen,Schagen,100
2015,Enkhuizen,Stede Broec,800
2015,Enkhuizen,Zaanstad,100
2015,Heiloo,'s-Gravenhage,100
2015,Heiloo,Alkmaar,2400
2015,Heiloo,Amstelveen,100
2015,Heiloo,Amsterdam,1300
2015,Heiloo,Bergen (NH.),400
2015,Heiloo,Beverwijk,200
2015,Heiloo,Castricum,500
2015,Heiloo,Den Helder,100
2015,Heiloo,Dijk en Waard,400
2015,Heiloo,Haarlem,300
2015,Heiloo,Haarlemmermeer,400
2015,Heiloo,Heemskerk,100
2015,Heiloo,Heiloo,1400
2015,Heiloo,Hoorn,100
2015,Heiloo,Purmerend,100
2015,Heiloo,Schagen,100
2015,Heiloo,Uitgeest,100
2015,Heiloo,Utrecht (gem),100
2015,Heiloo,Velsen,300
2015,Heiloo,Zaanstad,300
2015,Hollands Kroon,'s-Gravenhage,100
2015,Hollands Kroon,Alkmaar,1600
2015,Hollands Kroon,Amstelveen,100
2015,Hollands Kroon,Amsterdam,800
2015,Hollands Kroon,Apeldoorn,100
2015,Hollands Kroon,Bergen (NH.),100
2015,Hollands Kroon,Beverwijk,200
2015,Hollands Kroon,Castricum,100
2015,Hollands Kroon,Den Helder,2300
2015,Hollands Kroon,Dijk en Waard,1600
2015,Hollands Kroon,Drechterland,100
2015,Hollands Kroon,Edam-Volendam,100
2015,Hollands Kroon,Enkhuizen,100
2015,Hollands Kroon,Haarlem,200
2015,Hollands Kroon,Haarlemmermeer,300
2015,Hollands Kroon,Harderwijk,100
2015,Hollands Kroon,Hollands Kroon,6300
2015,Hollands Kroon,Hoorn,700
2015,Hollands Kroon,Koggenland,200
2015,Hollands Kroon,Medemblik,900
2015,Hollands Kroon,Opmeer,200
2015,Hollands Kroon,Purmerend,300
2015,Hollands Kroon,Rotterdam,100
2015,Hollands Kroon,Schagen,2200
2015,Hollands Kroon,Súdwest-Fryslân,100
2015,Hollands Kroon,Texel,200
2015,Hollands Kroon,Utrecht (gem),100
2015,Hollands Kroon,Velsen,300
2015,Hollands Kroon,Westland,200
2015,Hollands Kroon,Zaanstad,300
2015,Hoorn,'s-Gravenhage,100
2015,Hoorn,Alkmaar,2400
2015,Hoorn,Almere,100
2015,Hoorn,Amersfoort,100
2015,Hoorn,Amstelveen,400
2015,Hoorn,Amsterdam,4600
2015,Hoorn,Beverwijk,100
2015,Hoorn,Castricum,100
2015,Hoorn,Den Helder,500
2015,Hoorn,Diemen,100
2015,Hoorn,Dijk en Waard,1000
2015,Hoorn,Drechterland,500
2015,Hoorn,Edam-Volendam,500
2015,Hoorn,Enkhuizen,400
2015,Hoorn,Haarlem,300
2015,Hoorn,Haarlemmermeer,1100
2015,Hoorn,Harderwijk,100
2015,Hoorn,Helmond,100
2015,Hoorn,Hilversum,100
2015,Hoorn,Hollands Kroon,300
2015,Hoorn,Hoorn,11800
2015,Hoorn,Huizen,100
2015,Hoorn,Koggenland,700
2015,Hoorn,Lelystad,100
2015,Hoorn,Medemblik,1800
2015,Hoorn,Opmeer,300
2015,Hoorn,Ouder-Amstel,100
2015,Hoorn,Purmerend,1300
2015,Hoorn,Rotterdam,100
2015,Hoorn,Schagen,200
2015,Hoorn,Stede Broec,400
2015,Hoorn,Tiel,100
2015,Hoorn,Utrecht (gem),200
2015,Hoorn,Velsen,200
2015,Hoorn,Waterland,200
2015,Hoorn,Wormerland,100
2015,Hoorn,Zaanstad,1000
2015,Koggenland,Alkmaar,1200
2015,Koggenland,Amsterdam,800
2015,Koggenland,Bergen (NH.),100
2015,Koggenland,Beverwijk,100
2015,Koggenland,Castricum,100
2015,Koggenland,Den Helder,100
2015,Koggenland,Dijk en Waard,1000
2015,Koggenland,Drechterland,100
2015,Koggenland,Edam-Volendam,200
2015,Koggenland,Enkhuizen,100
2015,Koggenland,Haarlem,100
2015,Koggenland,Haarlemmermeer,200
2015,Koggenland,Hollands Kroon,100
2015,Koggenland,Hoorn,1300
2015,Koggenland,Koggenland,2800
2015,Koggenland,Medemblik,300
2015,Koggenland,Opmeer,300
2015,Koggenland,Purmerend,600
2015,Koggenland,Schagen,100
2015,Koggenland,Utrecht (gem),100
2015,Koggenland,Velsen,200
2015,Koggenland,Waterland,100
2015,Koggenland,Zaanstad,300
2015,Medemblik,Alkmaar,1000
2015,Medemblik,Almere,100
2015,Medemblik,Amstelveen,100
2015,Medemblik,Amsterdam,1200
2015,Medemblik,Beverwijk,100
2015,Medemblik,Castricum,100
2015,Medemblik,Den Helder,300
2015,Medemblik,Dijk en Waard,500
2015,Medemblik,Drechterland,400
2015,Medemblik,Edam-Volendam,200
2015,Medemblik,Enkhuizen,900
2015,Medemblik,Haarlem,200
2015,Medemblik,Haarlemmermeer,300
2015,Medemblik,Harderwijk,100
2015,Medemblik,Hollands Kroon,600
2015,Medemblik,Hoorn,3400
2015,Medemblik,Koggenland,500
2015,Medemblik,Medemblik,6200
2015,Medemblik,Opmeer,500
2015,Medemblik,Purmerend,500
2015,Medemblik,Schagen,100
2015,Medemblik,Stede Broec,500
2015,Medemblik,Utrecht (gem),100
2015,Medemblik,Velsen,100
2015,Medemblik,Waterland,100
2015,Medemblik,Westland,100
2015,Medemblik,Zaanstad,300
2015,Medemblik,Zutphen,100
2015,Opmeer,Alkmaar,500
2015,Opmeer,Amsterdam,200
2015,Opmeer,Den Helder,100
2015,Opmeer,Dijk en Waard,500
2015,Opmeer,Edam-Volendam,100
2015,Opmeer,Haarlemmermeer,100
2015,Opmeer,Hollands Kroon,100
2015,Opmeer,Hoorn,500
2015,Opmeer,Koggenland,500
2015,Opmeer,Medemblik,600
2015,Opmeer,Opmeer,1300
2015,Opmeer,Purmerend,100
2015,Opmeer,Schagen,100
2015,Opmeer,Velsen,100
2015,Opmeer,Zaanstad,100
2015,Schagen,'s-Gravenhage,100
2015,Schagen,Alkmaar,2400
2015,Schagen,Amsterdam,1200
2015,Schagen,Bergen (NH.),600
2015,Schagen,Beverwijk,200
2015,Schagen,Castricum,100
2015,Schagen,Den Helder,1400
2015,Schagen,Dijk en Waard,2099
2015,Schagen,Haarlem,200
2015,Schagen,Haarlemmermeer,300
2015,Schagen,Heiloo,100
2015,Schagen,Hollands Kroon,1000
2015,Schagen,Hoorn,500
2015,Schagen,Koggenland,100
2015,Schagen,Medemblik,200
2015,Schagen,Opmeer,200
2015,Schagen,Purmerend,200
2015,Schagen,Rotterdam,100
2015,Schagen,Schagen,7200
2015,Schagen,Texel,100
2015,Schagen,Utrecht (gem),100
2015,Schagen,Velsen,500
2015,Schagen,Zaanstad,500
2015,Schagen,Zandvoort,100
2015,Stede Broec,Aalsmeer,100
2015,Stede Broec,Alkmaar,400
2015,Stede Broec,Amsterdam,700
2015,Stede Broec,Den Helder,100
2015,Stede Broec,Dijk en Waard,100
2015,Stede Broec,Drechterland,700
2015,Stede Broec,Edam-Volendam,100
2015,Stede Broec,Enkhuizen,1200
2015,Stede Broec,Haarlem,100
2015,Stede Broec,Haarlemmermeer,200
2015,Stede Broec,Hollands Kroon,100
2015,Stede Broec,Hoorn,1400
2015,Stede Broec,Koggenland,100
2015,Stede Broec,Lelystad,100
2015,Stede Broec,Medemblik,1300
2015,Stede Broec,Opmeer,100
2015,Stede Broec,Purmerend,200
2015,Stede Broec,Schagen,100
2015,Stede Broec,Stede Broec,1800
2015,Stede Broec,Velsen,100
2015,Stede Broec,Zaanstad,200
2015,Texel,Alkmaar,100
2015,Texel,Amsterdam,100
2015,Texel,Den Helder,200
2015,Texel,Texel,4400
2015,Texel,Zaanstad,100
2015,Uitgeest,Alkmaar,500
2015,Uitgeest,Amstelveen,100
2015,Uitgeest,Amsterdam,1200
2015,Uitgeest,Beverwijk,500
2015,Uitgeest,Castricum,400
2015,Uitgeest,Den Helder,100
2015,Uitgeest,Dijk en Waard,100
2015,Uitgeest,Haarlem,400
2015,Uitgeest,Haarlemmermeer,300
2015,Uitgeest,Heemskerk,600
2015,Uitgeest,Heiloo,100
2015,Uitgeest,Purmerend,100
2015,Uitgeest,Uitgeest,800
2015,Uitgeest,Utrecht (gem),100
2015,Uitgeest,Velsen,500
2015,Uitgeest,Zaanstad,400
2016,Alkmaar,'s-Gravenhage,200
2016,Alkmaar,Aalsmeer,100
2016,Alkmaar,Alkmaar,19300
2016,Alkmaar,Almere,100
2016,Alkmaar,Amersfoort,100
2016,Alkmaar,Amstelveen,200
2016,Alkmaar,Amsterdam,6600
2016,Alkmaar,Bergen (NH.),1300
2016,Alkmaar,Beverwijk,700
2016,Alkmaar,Breda,100
2016,Alkmaar,Castricum,600
2016,Alkmaar,Den Helder,800
2016,Alkmaar,Diemen,100
2016,Alkmaar,Dijk en Waard,4100
2016,Alkmaar,Edam-Volendam,200
2016,Alkmaar,Eindhoven,100
2016,Alkmaar,Enkhuizen,200
